,Efficiency,Figure of merit,Thrust,Torque,Blade solidity,Blade loading,Disk loading,"Moments (Mx, My, Mz)"
Value (SI),-----,-----,[838.12],[333.52],-----,-----,[266.78],[    0.       0.   -4190.58]
Coeff./ dim.-less qty.,[0.8],[0.2],[0.13],[0.03],[0.19],[0.67],-----,-----
